OTD in 1976: GROUND PHOTO CAPTION CARD  - https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000414330020-3 (50 pgs)
OTD in 1974: 1258099 - 1258177 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000602200002-8 (94 pgs)
OTD in 1974: 316224 - 316323 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200750003-3 (100 pgs)
OTD in 1974: 316942 - 317041 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200750010-5 (99 pgs)
OTD in 1974: 317042 - 317154 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200750011-4 (90 pgs)
OTD in 1974: 316324 - 316425 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200750004-2 (92 pgs)
OTD in 1974: 316737 - 316841 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200750008-8 (100 pgs)
OTD in 1974: 316633 - 316736 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200750007-9 (100 pgs)
OTD in 1974: 318559 - 318658 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200750026-8 (100 pgs)
OTD in 1974: 327354 - 327453 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200770028-4 (100 pgs)
OTD in 1974: 316000 - 316123 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200750001-5 (100 pgs)
OTD in 1974: 316124 - 316223 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200750002-4 (100 pgs)
OTD in 1974: 240734 - 240812 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560040-3 (99 pgs)
OTD in 1974: 324639 - 324738 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560042-1 (100 pgs)
OTD in 1974: 239975 - 240037 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560034-0 (100 pgs)
OTD in 1974: 240216 - 240335 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560036-8 (76 pgs)
OTD in 1974: 240451 - 240605 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560038-6 (100 pgs)
OTD in 1974: 240813 - 324630 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560041-2 (98 pgs)
OTD in 1974: 240336 - 240450 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560037-7 (100 pgs)
OTD in 1974: 324739 - 324799 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560043-0 (63 pgs)
OTD in 1974: 239868 - 239974 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560033-1 (99 pgs)
OTD in 1974: 240606 - 240729 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560039-5 (100 pgs)
OTD in 1974: 238635 - 238743 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560022-3 (7 pgs)
OTD in 1974: 238861 - 238972 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560024-1 (100 pgs)
OTD in 1974: 239309 - 239416 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560028-7 (98 pgs)
OTD in 1974: 239417 - 239527 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560029-6 (97 pgs)
OTD in 1974: 239528239637 - https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560030-4 (78 pgs)
OTD in 1974: 238973 - 239081 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560025-0 (100 pgs)
OTD in 1974: 239082 - 239191 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560026-9 (57 pgs)
OTD in 1974: 239192 - 239308 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560027-8 (51 pgs)
OTD in 1974: 238745 - 238860 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560023-2 (100 pgs)
OTD in 1974: 239638 - 239749 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560031-3 (74 pgs)
OTD in 1974: 237341 - 237447 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560010-6 (98 pgs)
OTD in 1974: 237558 - 237666 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560012-4 (100 pgs)
OTD in 1974: 237667 - 237772 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560013-3 (33 pgs)
OTD in 1974: 238196 - 238301 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560018-8 (82 pgs)
OTD in 1974: 237448 - 237557 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560011-5 (100 pgs)
OTD in 1974: 237877 - 237981 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560015-1 (100 pgs)
OTD in 1974: 238092 - 238195 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560017-9 (100 pgs)
OTD in 1974: 237773 - 237876 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560014-2 (46 pgs)
OTD in 1974: 238302 - 238410 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560019-7 (98 pgs)
OTD in 1974: 238412 - 238526 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560020-5 (99 pgs)
OTD in 1974: 236922 - 237026 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560006-1 (87 pgs)
OTD in 1974: 223478 - 223577 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520039-9 (100 pgs)
OTD in 1974: 236504 - 236606 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560002-5 (100 pgs)
OTD in 1974: 236607 - 236710 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560003-4 (100 pgs)
OTD in 1974: 236821 - 236921 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560005-2 (100 pgs)
OTD in 1974: 237027 - 237126 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560007-0 (55 pgs)
OTD in 1974: 223274 - 223377 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520037-1 (95 pgs)
OTD in 1974: 223678 - 223727 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520041-6 (37 pgs)
OTD in 1974: 237127 - 237231 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560008-9 (93 pgs)
OTD in 1974: 232232 - 237340 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560009-8 (100 pgs)
OTD in 1974: 222470 - 222570 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520029-0 (78 pgs)
OTD in 1974: 222571 - 222670 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520030-8 (100 pgs)
OTD in 1974: 222872 - 222971 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520033-5 (70 pgs)
OTD in 1974: 223174 - 223273 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520036-2 (100 pgs)
OTD in 1974: 222673 - 222772 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520031-7 (69 pgs)
OTD in 1974: 222773 - 222871 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520032-6 (99 pgs)
OTD in 1974: 222972 - 223073 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520034-4 (99 pgs)
OTD in 1974: 223378 - 223477 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520038-0 (98 pgs)
OTD in 1974: 223578 - 223677 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520040-7 (100 pgs)
OTD in 1974: 236400 - 236500 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200560001-6 (100 pgs)
OTD in 1974: 221359 - 221458 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520018-2 (92 pgs)
OTD in 1974: 221660 - 221760 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520021-8 (100 pgs)
OTD in 1974: 222068 - 222168 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520025-4 (100 pgs)
OTD in 1974: 221459 - 221559 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520019-1 (56 pgs)
OTD in 1974: 221560 - 221659 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520020-9 (100 pgs)
OTD in 1974: 221863 - 221962 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520023-6 (100 pgs)
OTD in 1974: 221983 - 222067 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520024-5 (99 pgs)
OTD in 1974: 221159 - 221258 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520016-4 (100 pgs)
OTD in 1974: 222169 - 222269 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520026-3 (92 pgs)
OTD in 1974: 222270 - 222369 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520027-2 (100 pgs)
OTD in 1974: 220450 - 220549 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520009-2 (100 pgs)
OTD in 1974: 220756 - 220857 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520012-8 (83 pgs)
OTD in 1974: 220957 - 221063 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520014-6 (97 pgs)
OTD in 1974: 221064 - 221158 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520015-5 (91 pgs)
OTD in 1974: 221259 - 221358 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520017-3 (94 pgs)
OTD in 1974: 220224 - 220333 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520007-4 (100 pgs)
OTD in 1974: 220334 - 220449 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520008-3 (98 pgs)
OTD in 1974: 220550 - 220653 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520010-0 (95 pgs)
OTD in 1974: 220654 - 220755 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520011-9 (49 pgs)
OTD in 1974: 220858 - 220956 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520013-7 (80 pgs)
OTD in 1974: 215267 - 215366 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500042-7 (100 pgs)
OTD in 1974: 215367 - 215399 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500043-6 (34 pgs)
OTD in 1974: 219602 - 219701 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520001-0 (97 pgs)
OTD in 1974: 219804 - 219907 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520003-8 (98 pgs)
OTD in 1974: 219908 - 220021 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520004-7 (95 pgs)
OTD in 1974: 214462 - 214561 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500034-6 (100 pgs)
OTD in 1974: 214562 - 214665 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500035-5 (100 pgs)
OTD in 1974: 214767 - 214866 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500037-3 (100 pgs)
OTD in 1974: 220124 - 220223 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200520006-5 (100 pgs)
OTD in 1974: 215169 - 215266 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500041-8 (100 pgs)
OTD in 1974: 214157 - 214257 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500031-9 (100 pgs)
OTD in 1974: 213714 - 213830 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500027-4 (100 pgs)
OTD in 1974: 213831 - 213954 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500028-3 (100 pgs)
OTD in 1974: 214056 - 214156 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500030-0 (58 pgs)
OTD in 1974: 214258 - 214362 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500032-8 (100 pgs)
OTD in 1974: 214363 - 214461 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500033-7 (96 pgs)
OTD in 1974: 214666 - 214766 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500036-4 (66 pgs)
OTD in 1974: 215069 - 215168 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500040-9 (81 pgs)
OTD in 1974: 213591 - 213713 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500026-5 (100 pgs)
OTD in 1974: 213955 - 214055 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500029-2 (100 pgs)
OTD in 1974: 212687 - 212788 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500017-5 (100 pgs)
OTD in 1974: 212891 - 212990 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500019-3 (99 pgs)
OTD in 1974: 213189 - 213288 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500022-9 (100 pgs)
OTD in 1974: 212587 - 212686 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500016-6 (99 pgs)
OTD in 1974: 212789 - 212890 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500018-4 (90 pgs)
OTD in 1974: 212991 - 213088 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500020-1 (100 pgs)
OTD in 1974: 213089 - 213188 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500021-0 (100 pgs)
OTD in 1974: 213289 - 213388 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500023-8 (93 pgs)
OTD in 1974: 213389 - 213489 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500024-7 (97 pgs)
OTD in 1974: 213490 - 213590 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500025-6 (100 pgs)
OTD in 1974: 212084 - 212186 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500011-1 (84 pgs)
OTD in 1974: 211076 - 211174 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500001-2 (98 pgs)
OTD in 1974: 211175 - 211174 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500002-1 (100 pgs)
OTD in 1974: 211883 - 211982 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500009-4 (84 pgs)
OTD in 1974: 211983 - 212083 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500010-2 (100 pgs)
OTD in 1974: 212187 - 212286 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500012-0 (68 pgs)
OTD in 1974: 197447 - 197548 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200460026-0 (100 pgs)
OTD in 1974: 212287 - 212386 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500013-9 (98 pgs)
OTD in 1974: 212387 - 212486 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500014-8 (100 pgs)
OTD in 1974: 212487 - 212586 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500015-7 (93 pgs)
OTD in 1976: GROUND PHOTO CAPTION CARD 188283 - 188385 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200430028-8 (100 pgs)
OTD in 1976: GROUND PHOTO CAPTION CARD 188386 - 188496 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200430029-7 (98 pgs)
OTD in 1976: GROUND PHOTO CAPTION CARD 189113 - 189214 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200430036-9 (28 pgs)
OTD in 1976: GROUND PHOTO CAPTION CARD 189215 - 189370 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200430037-8 (22 pgs)
OTD in 1976: GROUND PHOTO CAPTION CARD 188697 - 188803 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200430032-3 (97 pgs)
OTD in 1976: GROUND PHOTO CAPTION CARD 189011 - 189112 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200430035-0 (31 pgs)
OTD in 1976: GROUND PHOTO CAPTION CARD 189626 - 189730 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200430041-3 (91 pgs)
OTD in 1974: 195601 - 195711 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200460008-0 (31 pgs)
OTD in 1974: 211478 - 211577 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500005-8 (95 pgs)
OTD in 1974: 211778 - 211882 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000200500008-5 (70 pgs)
OTD in 1974: 168115 - 168214 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000100390011-5 (98 pgs)
OTD in 1974: 168615 - 168715 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000100390016-0 (92 pgs)
OTD in 1974: 168716 - 168815 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000100390017-9 (98 pgs)
OTD in 1974: 169118 - 169219 https://www.cia.gov/library/readingroom/document/cia-rdp78-05867a000100390021-4 (89 pgs)
